785	in	9		
339	in	7		
758	in	7		
1104	in	2		
589	in	7		
263	in	8		
855	in	7		
1211	in	11		
552	in	2		
1166	in	9		
180	in	6		
217	in	8		
459	in	3		
970	in	2		
756	in	4		
861	in	2		
287	in	14		
916	in	3		
1142	in	4		
1365	in	8		
1356	in	4		
779	in	2		
753	in	2		
267	in	10		
363	in	3		
313	in	6		
1334	in	2		
1328	in	7		
828	in	7		
638	in	2		
676	in	6		
234	in	13		
545	in	6		
707	in	7		
734	in	8		
729	in	1		
1096	in	4		
935	in	3		
10086601	in	10		
1086	in	2		
699	in	7		
794	in	2		
683	in	10		
384	in	7		
75	in	8		
385	in	8		
178	in	7		
1284	in	6		
920	in	4		
624	in	3		
177	in	5		
63	in	4		
67	in	6		
830	in	2		
1206	in	11		
231	in	2		
195	in	7		
807	in	3		
134	in	5		
972	in	7		
524	in	2		
1035	in	8		
1409	in	2		
629	in	7		
43	in	8		
348	in	14		
1165	in	4		
540	in	11		
343	in	9		
114	in	10		
155	in	6		
227	in	10		
4	in	7		
1013	in	9		
344	in	14		
1238	in	5		
555	in	10		
450	in	5		
782	in	9		
57	in	6		
560	in	3		
197	in	7		
826	in	4		
985	in	3		
1347	in	6		
61	in	2		
1350	in	15		
456	in	10		
72	in	9		
845	in	12		
297	in	7		
876	in	3		
910	in	10		
1109	in	2		
464	in	5		
360	in	3		
885	in	7		
1128	in	7		
1082	in	4		
1411	in	2		
1019	in	6		
740	in	7		
10092402	in	5		
573	in	7		
1311	in	6		
1256	in	2		
1191	in	4		
583	in	9		
411	in	6		
143	in	3		
999	in	6		
979	in	3		
585	in	2		
375	in	8		
887	in	9		
273	in	9		
822	in	3		
1226	in	2		
334	in	11		
530	in	7		
1237	in	12		
1277	in	2		
1115	in	3		
1145	in	9		
840	in	7		
9	in	2		
1327	in	4		
578	in	11		
886	in	5		
223	in	8		
335	in	11		
356	in	13		
194	in	14		
1276	in	5		
91	in	17		
1018	in	4		
10042706	in	1		
133	in	7		
45	in	3		
8	in	12		
668	in	14		
1121	in	9		
386	in	13		
463	in	9		
150	in	7		
1083	in	6		
1021	in	5		
1295	in	2		
689	in	12		
159	in	6		
1220	in	4		
880	in	4		
749	in	4		
407	in	8		
1084	in	7		
300	in	7		
760	in	6		
860	in	4		
1140	in	9		
736	in	5		
1067	in	4		
10092403	in	2		
675	in	7		
266	in	5		
398	in	6		
